,tradeDate,closePrice
0,2020-01-02,16.87
1,2020-01-03,17.18
2,2020-01-06,17.07
3,2020-01-07,17.15
4,2020-01-08,16.66
5,2020-01-09,16.79
6,2020-01-10,16.69
7,2020-01-13,16.99
8,2020-01-14,16.76
9,2020-01-15,16.52
10,2020-01-16,16.33
11,2020-01-17,16.39
12,2020-01-20,16.45
13,2020-01-21,16.0
14,2020-01-22,16.09
15,2020-01-23,15.54
16,2020-02-03,13.99
17,2020-02-04,14.6
18,2020-02-05,14.63
19,2020-02-06,14.77
20,2020-02-07,14.62
21,2020-02-10,14.5
22,2020-02-11,14.79
23,2020-02-12,14.77
24,2020-02-13,14.65
25,2020-02-14,15.03
26,2020-02-17,15.37
27,2020-02-18,15.2
28,2020-02-19,15.24
29,2020-02-20,15.59
30,2020-02-21,15.58
31,2020-02-24,15.23
32,2020-02-25,15.04
33,2020-02-26,14.99
34,2020-02-27,15.11
35,2020-02-28,14.5
36,2020-03-02,14.79
37,2020-03-03,14.72
38,2020-03-04,14.69
39,2020-03-05,15.39
40,2020-03-06,15.03
41,2020-03-09,14.45
42,2020-03-10,14.76
43,2020-03-11,14.69
44,2020-03-12,14.68
45,2020-03-13,14.52
46,2020-03-16,13.75
47,2020-03-17,13.41
48,2020-03-18,12.71
49,2020-03-19,12.23
50,2020-03-20,12.52
51,2020-03-23,12.15
52,2020-03-24,12.61
53,2020-03-25,12.87
54,2020-03-26,13.06
55,2020-03-27,13.15
56,2020-03-30,12.94
57,2020-03-31,12.8
58,2020-04-01,12.89
59,2020-04-02,12.97
60,2020-04-03,12.61
61,2020-04-07,12.88
62,2020-04-08,12.78
63,2020-04-09,12.74
64,2020-04-10,12.79
65,2020-04-13,12.59
66,2020-04-14,12.86
67,2020-04-15,12.87
68,2020-04-16,12.68
69,2020-04-17,12.89
70,2020-04-20,12.99
71,2020-04-21,13.45
72,2020-04-22,13.23
73,2020-04-23,13.23
74,2020-04-24,13.24
75,2020-04-27,13.5
76,2020-04-28,13.52
77,2020-04-29,14.02
78,2020-04-30,13.93
79,2020-05-06,13.77
80,2020-05-07,13.69
81,2020-05-08,13.95
82,2020-05-11,14.0
83,2020-05-12,13.79
84,2020-05-13,13.63
85,2020-05-14,13.3
86,2020-05-15,13.23
87,2020-05-18,13.2
88,2020-05-19,13.36
89,2020-05-20,13.51
90,2020-05-21,13.4
91,2020-05-22,12.92
92,2020-05-25,12.96
93,2020-05-26,13.04
94,2020-05-27,13.0
95,2020-05-28,13.07
96,2020-05-29,13.0
97,2020-06-01,13.32
98,2020-06-02,13.55
99,2020-06-03,13.54
100,2020-06-04,13.57
101,2020-06-05,13.59
102,2020-06-08,13.62
103,2020-06-09,13.67
104,2020-06-10,13.49
105,2020-06-11,13.08
106,2020-06-12,12.99
107,2020-06-15,12.82
108,2020-06-16,12.89
109,2020-06-17,12.85
110,2020-06-18,12.76
111,2020-06-19,12.8
112,2020-06-22,12.64
113,2020-06-23,12.6
114,2020-06-24,12.8
115,2020-06-29,12.8
116,2020-06-30,12.8
117,2020-07-01,13.12
118,2020-07-02,13.43
119,2020-07-03,14.25
120,2020-07-06,15.68
121,2020-07-07,15.48
122,2020-07-08,15.76
123,2020-07-09,15.53
124,2020-07-10,14.86
125,2020-07-13,14.89
126,2020-07-14,14.68
127,2020-07-15,14.27
128,2020-07-16,14.15
129,2020-07-17,14.14
130,2020-07-20,14.73
131,2020-07-21,14.49
132,2020-07-22,14.41
133,2020-07-23,14.01
134,2020-07-24,13.5
135,2020-07-27,13.24
136,2020-07-28,13.34
137,2020-07-29,13.54
138,2020-07-30,13.37
139,2020-07-31,13.34
140,2020-08-03,13.59
141,2020-08-04,14.04
142,2020-08-05,13.76
143,2020-08-06,13.9
144,2020-08-07,13.7
145,2020-08-10,13.95
146,2020-08-11,14.13
147,2020-08-12,14.38
148,2020-08-13,14.18
149,2020-08-14,14.47
150,2020-08-17,15.19
151,2020-08-18,15.15
152,2020-08-19,15.1
153,2020-08-20,14.59
154,2020-08-21,14.45
155,2020-08-24,14.46
156,2020-08-25,14.6
157,2020-08-26,14.37
158,2020-08-27,14.46
159,2020-08-28,15.13
160,2020-08-31,15.08
161,2020-09-01,15.14
162,2020-09-02,15.32
163,2020-09-03,14.9
164,2020-09-04,14.96
165,2020-09-07,14.94
166,2020-09-08,15.43
167,2020-09-09,15.21
168,2020-09-10,15.34
169,2020-09-11,15.01
170,2020-09-14,15.3
171,2020-09-15,15.35
172,2020-09-16,15.44
173,2020-09-17,15.57
174,2020-09-18,16.07
175,2020-09-21,15.86
176,2020-09-22,15.57
177,2020-09-23,15.63
178,2020-09-24,15.12
179,2020-09-25,15.19
180,2020-09-28,15.31
181,2020-09-29,14.8
182,2020-09-30,15.17
183,2020-10-09,15.18
184,2020-10-12,15.9
185,2020-10-13,16.06
186,2020-10-14,16.03
187,2020-10-15,16.56
188,2020-10-16,17.1
189,2020-10-19,17.48
190,2020-10-20,17.54
191,2020-10-21,17.91
192,2020-10-22,17.56
193,2020-10-23,18.13
194,2020-10-26,17.7
195,2020-10-27,17.76
196,2020-10-28,17.63
197,2020-10-29,17.77
198,2020-10-30,17.75
199,2020-11-02,17.63
200,2020-11-03,17.96
201,2020-11-04,18.32
202,2020-11-05,17.7
203,2020-11-06,17.64
204,2020-11-09,17.84
205,2020-11-10,18.11
206,2020-11-11,17.81
207,2020-11-12,17.66
208,2020-11-13,17.18
209,2020-11-16,17.37
210,2020-11-17,17.83
211,2020-11-18,18.46
212,2020-11-19,18.85
213,2020-11-20,18.86
214,2020-11-23,19.62
215,2020-11-24,19.36
216,2020-11-25,19.06
217,2020-11-26,19.5
218,2020-11-27,19.7
219,2020-11-30,19.74
220,2020-12-01,20.05
221,2020-12-02,19.63
222,2020-12-03,19.54
223,2020-12-04,19.3
224,2020-12-07,18.91
225,2020-12-08,18.71
226,2020-12-09,18.71
227,2020-12-10,18.65
228,2020-12-11,18.52
229,2020-12-14,18.88
230,2020-12-15,18.74
231,2020-12-16,19.01
232,2020-12-17,18.95
233,2020-12-18,18.36
234,2020-12-21,18.28
235,2020-12-22,17.9
236,2020-12-23,18.0
237,2020-12-24,18.26
238,2020-12-25,18.04
239,2020-12-28,18.85
240,2020-12-29,19.17
241,2020-12-30,19.2
242,2020-12-31,19.34
243,2021-01-04,18.6
244,2021-01-05,18.17
245,2021-01-06,19.56
246,2021-01-07,19.9
247,2021-01-08,19.85
248,2021-01-11,20.38
249,2021-01-12,21.0
250,2021-01-13,20.7
251,2021-01-14,20.17
252,2021-01-15,21.0
253,2021-01-18,22.7
254,2021-01-19,22.34
255,2021-01-20,22.47
256,2021-01-21,22.23
257,2021-01-22,22.03
258,2021-01-25,22.49
259,2021-01-26,22.37
260,2021-01-27,23.08
261,2021-01-28,22.81
262,2021-01-29,23.09
263,2021-02-01,24.55
264,2021-02-02,23.28
265,2021-02-03,24.95
266,2021-02-04,24.6
267,2021-02-05,24.93
268,2021-02-08,24.8
269,2021-02-09,24.58
270,2021-02-10,23.82
271,2021-02-18,24.3
272,2021-02-19,23.85
