GDP,工业总产值,铁路运输长度,复线比例,公路运输长度,等级公路比重,铁路货运数量,民用载货车辆,货运量,铁路货运量,公路货运量
58478,135185,5.3,0.23,16.2,0.21,1015.3,586.4,102467,52266,46153
67884,152369,5.3,0.27,18.5,0.26,1107.6,577,124486,60728,56246
74462,182563,6.21,0.25,21.4,0.28,1214.6,601.2,148691,69355,67346
78345,201587,6.32,0.26,25.7,0.29,1336.5,626.8,162663,79757,78267
82067,225689,6.32,0.26,30.2,0.31,1443.5,675.96,186695,91757,95647
89403,240568,6.47,0.28,34.6,0.33,1516.2,726.31,205764,99736,98756
95933,263856,6.48,0.28,39.5,0.36,1642.6,764.25,226697,109965,102765
104790,285697,6.7,0.3,42,0.39,1763.1,852.21,245716,120537,111258
116694,308765,6.7,0.3,46.3,0.41,1867.1,878.23,263683,130465,120412
,,,,,,,,,,
,,,,,,,,,,